"Name","Value","Voltage_Rating","Dielectric","Package","Comment","Created_By","Created_Date","Library Ref","Library Path","Footprint Ref","Footprint Path"
Ind_1.0pf_16V_CAP 0402/1005,1.0pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 1.0pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_1.1pf_16V_CAP 0402/1005,1.1pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 1.1pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_1.2pf_16V_CAP 0402/1005,1.2pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 1.2pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_1.3pf_16V_CAP 0402/1005,1.3pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 1.3pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_1.5pf_16V_CAP 0402/1005,1.5pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 1.5pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_1.6pf_16V_CAP 0402/1005,1.6pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 1.6pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_1.8pf_16V_CAP 0402/1005,1.8pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 1.8pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_2.0pf_16V_CAP 0402/1005,2.0pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 2.0pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_2.2pf_16V_CAP 0402/1005,2.2pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 2.2pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_2.4pf_16V_CAP 0402/1005,2.4pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 2.4pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_2.7pf_16V_CAP 0402/1005,2.7pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 2.7pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_3.0pf_16V_CAP 0402/1005,3.0pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 3.0pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_3.3pf_16V_CAP 0402/1005,3.3pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 3.3pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_3.6pf_16V_CAP 0402/1005,3.6pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 3.6pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_3.9pf_16V_CAP 0402/1005,3.9pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 3.9pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_4.3pf_16V_CAP 0402/1005,4.3pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 4.3pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_4.7pf_16V_CAP 0402/1005,4.7pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 4.7pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_5.1pf_16V_CAP 0402/1005,5.1pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 5.1pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_5.6pf_16V_CAP 0402/1005,5.6pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 5.6pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_6.2pf_16V_CAP 0402/1005,6.2pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 6.2pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_6.8pf_16V_CAP 0402/1005,6.8pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 6.8pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_7.5pf_16V_CAP 0402/1005,7.5pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 7.5pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_8.2pf_16V_CAP 0402/1005,8.2pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 8.2pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_9.1pf_16V_CAP 0402/1005,9.1pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 9.1pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_10pf_16V_CAP 0402/1005,10pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 10pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_11pf_16V_CAP 0402/1005,11pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 11pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_12pf_16V_CAP 0402/1005,12pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 12pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_13pf_16V_CAP 0402/1005,13pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 13pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_15pf_16V_CAP 0402/1005,15pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 15pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_16pf_16V_CAP 0402/1005,16pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 16pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_18pf_16V_CAP 0402/1005,18pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 18pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_20pf_16V_CAP 0402/1005,20pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 20pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
Ind_22pf_16V_CAP 0402/1005,22pf,16V,Ceramic,CAP 0402/1005,Inductor MLCC 22pf 16V CAP 0402/1005,Nick Mah,2018-10-20,Inductors,Symbols/Passives.schlib,CAP 0402/1005,Footprints/Passives.Pcblib
