Name,Value,Tolerance,Power,Package,Comment,Created_By,Created_Date,Library Ref,Library Path,Footprint Ref,Footprint Path
Res_1.0_0402_1/10W_1%,1.0,1%,1/10W,0402,Resistor 1.0 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_1.1_0402_1/10W_1%,1.1,1%,1/10W,0402,Resistor 1.1 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_1.2_0402_1/10W_1%,1.2,1%,1/10W,0402,Resistor 1.2 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_1.3_0402_1/10W_1%,1.3,1%,1/10W,0402,Resistor 1.3 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_1.5_0402_1/10W_1%,1.5,1%,1/10W,0402,Resistor 1.5 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_1.6_0402_1/10W_1%,1.6,1%,1/10W,0402,Resistor 1.6 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_1.8_0402_1/10W_1%,1.8,1%,1/10W,0402,Resistor 1.8 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_2.0_0402_1/10W_1%,2.0,1%,1/10W,0402,Resistor 2.0 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_2.2_0402_1/10W_1%,2.2,1%,1/10W,0402,Resistor 2.2 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_2.4_0402_1/10W_1%,2.4,1%,1/10W,0402,Resistor 2.4 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_2.7_0402_1/10W_1%,2.7,1%,1/10W,0402,Resistor 2.7 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_3.0_0402_1/10W_1%,3.0,1%,1/10W,0402,Resistor 3.0 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_3.3_0402_1/10W_1%,3.3,1%,1/10W,0402,Resistor 3.3 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_3.6_0402_1/10W_1%,3.6,1%,1/10W,0402,Resistor 3.6 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_3.9_0402_1/10W_1%,3.9,1%,1/10W,0402,Resistor 3.9 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
Res_4.3_0402_1/10W_1%,4.3,1%,1/10W,0402,Resistor 4.3 0402 1/10W 1%,Nick Mah,2018-10-20,Resistor,Symbols/Passives.schlib,0402,Footprints/Passibes.Pcblib
